Item,SKU,Serial number,Barcode,Brand,Supplier,Quantity sold, Sales (inc. tax) , Sales (Ex. tax) , Order discounts , Discount offers , Total markup value , Purchase cost , Gross profit ,Margin %
SM Motor / Dapu Mid-Drive GEN1 w/CONTROL UNIT v2,SM-MTR-DMDGEN1CU2,,E2BE087A,Smartmotion,"Kunshan Cyclisport Co., Ltd",3,$0.00,$0.00,"$1,384.62",$0.00,$0.00,$839.16,-$839.16,0
VSETT 11+ Controller,VS-11+-CNTR-60V,,12E301FE,VSETT,Ningbo Vsett,3,$0.00,$0.00,$704.74,$0.00,$0.00,$578.77,-$578.77,0
ZERO Folding Shaft,ZER-FOLD-SHAF,,7CB35450,Zero,Falcon PEV Pte Ltd,3,$13.65,$12.41,$0.00,$0.00,$0.00,$12.60,-$0.19,-1.54
ZERO Folding Lever,ZER-FOL-LEVER,,CABBE03F,Zero,Falcon PEV Pte Ltd,3,$27.30,$24.82,$0.00,$0.00,$0.00,$69.30,-$44.48,-179.23
"SM ECity Wheels / Rear 26""",SM-ECITY-WHEEL-R-26,,D1B67387,Smartmotion,"Kunshan Cyclisport Co., Ltd",3,"$1,001.60",$910.55,$125.80,$0.00,$0.00,$525.60,$384.95,42.28
VSETT 10+/11+ Communication cable,VS-10+-DUL-DRV-1-LINE,,A6F22088,VSETT,Ningbo Vsett,3,$85.72,$77.93,$0.00,$0.00,$0.00,$70.06,$7.87,10.1
"Smartmotion Hypersonic Neo / Black / S-16.5""",SM-HYPER-NEO-BLK--S-16.5,"G5SN210444, G5SN210537, G5SN210544",9D11192C,Smartmotion,"Kunshan Cyclisport Co., Ltd",3,"$10,841.25","$9,855.68",$183.75,$0.00,$0.00,"$7,422.54","$2,433.14",24.69
SM ECity rack with lights,SM-ECITY-RK-W-LHT,,CFD477BA,Smartmotion,"Kunshan Cyclisport Co., Ltd",3,$384.62,$349.65,$192.31,$0.00,$0.00,$349.65,$0.00,0
ZERO Universal LCD Throttle Bracket,ZER-BRA-UNI-LCD,,258D7E6F,Zero,Falcon PEV Pte Ltd,3,$40.50,$36.82,$4.50,$0.00,$0.00,$31.50,$5.32,14.44
VSETT 10+ Rear LED spotlights (Red/Yellow),VS-10+-R-LED-SPT-LGHTS-R/Y,,B1DB7111,VSETT,Ningbo Vsett,3,$10.00,$9.09,$3.25,$0.00,$0.00,$9.45,-$0.36,-4.01
VSETT 10+ Front Cover of Board +reflector (Plastic),VS-10+-F-COVR-BRD-REFL-PLAS,,4DB4A571,VSETT,Ningbo Vsett,3,$40.00,$36.36,$15.71,$0.00,$0.00,$45.70,-$9.34,-25.69
"Vsett inner 11""",,,,,,3,$52.50,$47.73,$0.00,$0.00,$0.00,$0.00,$47.73,100
Moto Disc Lock,MOTO_DSC_LCK,,AAB16276,,,3,$56.47,$51.34,$3.00,$0.00,$0.00,$38.06,$13.28,25.86
On Guard Mastiff Chain Lock 120 X 4mm,MASTIFF-CHN-LOCK -120,,2381F1B3,On Guard,Bikecorp,3,$68.79,$62.54,$3.00,$0.00,$0.00,$52.56,$9.98,15.95
QBP Lock 12mm Key 180cm,QBP-12MM-180-KEY,,BBBB45BD,QBP,KWT Imports,3,$45.41,$41.28,$0.00,$0.00,$0.00,$27.28,$14.00,33.92
VSETT 8/8+/9/9+ Light module,VS-8/8+/9/9+-LIGHT-MLD,,5BB48AE8,VSETT,Ningbo Vsett,3,$15.45,$14.05,$30.90,$0.00,$0.00,$42.14,-$28.09,-200
VSETT 10+ Battery / 60V 20.8AH,VS-10+-BATTERY-60V20.8,,87E18163,VSETT,Ningbo Vsett,3,$0.00,$0.00,"$2,223.24",$0.00,$0.00,"$1,826.52","-$1,826.52",0
ZERO 10X Suspension Pivot Axle Lower,ZER-10X-SUS-SHA-LOW,,5C40CC3F,Zero,Falcon PEV Pte Ltd,3,$32.67,$29.70,$0.00,$0.00,$0.00,$19.80,$9.90,33.33
SM Essence Front Forks / White,SM-ESS-F-FRK-WHITE,,94DB679E,Smartmotion,"Kunshan Cyclisport Co., Ltd",3,$300.00,$272.73,$0.00,$0.00,$0.00,$181.82,$90.91,33.33
Helmet - TRAJECTA w Fidlock / Black / MED,HELMET-TRAJECTA-BL-MD,,647FBDFB,,FE Sports,3,$264.00,$240.00,$528.00,$0.00,$0.00,$720.00,-$480.00,-200
SM Controller/ G4 Ecity,SM-CON-G4,,78777953,Smartmotion,"Kunshan Cyclisport Co., Ltd",3,$115.50,$105.00,$231.00,$0.00,$0.00,$163.17,-$58.17,-55.4
Zero Wake Handlebar BLACK,ZERO-WAKE-BAR-BLACK,,FEA3FBD8,WAKE,Falcon PEV Pte Ltd,3,$89.97,$81.79,$0.00,$0.00,$0.00,$42.90,$38.89,47.55
VSETT Handlebar Grips Right / VSETT11+,VS-HNDLBAR-GRIP-R-11+,,AAF58F44,VSETT,Ningbo Vsett,3,$52.59,$47.81,$0.00,$0.00,$0.00,$20.64,$27.17,56.83
TRANSPORT CHARGES FOR RETURNED ZERO SCOOTER ORDER,,,,,,3,$195.00,$177.27,$0.00,$0.00,$0.00,$0.00,$177.27,100
Oko Magic Milk Hi Fibre Sealant Liquid 250ml,MAG-MILK-SEAL,,128C9154,OKO,,3,$69.86,$63.51,$4.99,$0.00,$0.00,$39.42,$24.09,37.93
SM Inner Tubes / CST 26 X 1.9 -2.125,SM-IN-CST-26,,1D32D8FD,,,3,$27.00,$24.55,$0.00,$0.00,$0.00,$18.75,$5.80,23.61
"SM Lighting Cable / Julet 2pin flat / ECITY 24""",SM-LGHT-CBL-J2PMF10700,,A17F1C41,Smartmotion,"Kunshan Cyclisport Co., Ltd",3,$36.93,$33.57,$0.00,$0.00,$0.00,$22.38,$11.20,33.35
ZERO TYRE 8 Inch Series / 8X Solid Tyre (200x90),ZER-TYRE-8X-SOLID,,F61A10FD,Zero,Falcon PEV Pte Ltd,3,$60.99,$55.45,$0.00,$0.00,$0.00,$39.60,$15.85,28.58
VSETT 9/9+ Brake cable,VS-9/9+-BRK-CBLE,,A62AA7F3,VSETT,Ningbo Vsett,3,$11.64,$10.58,$0.00,$0.00,$0.00,$10.58,$0.00,0
"Tyre - 8.5 x 2""",,,,,,2,$35.90,$32.64,$0.00,$0.00,$0.00,$0.00,$32.64,100
Charging Port,,,,,,2,$24.20,$22.00,$0.00,$0.00,$0.00,$0.00,$22.00,100
SM XCity 27.5 / Teal,SMB-XCITY-27.5-TEAL,"SMWX20714810, SMWX200093",76B6C47C,,,2,"$4,900.00","$4,454.55",$0.00,$0.00,$5.50,"$3,207.46","$1,247.09",28
FREIGHT : SMBNAT2703,,,,,,2,$165.00,$150.00,$0.00,$0.00,$0.00,$4.00,$146.00,97.33
ZERO LCD DISPLAY,,,,,,2,$122.35,$111.23,$0.00,$0.00,$0.00,$0.00,$111.23,100
Due Date / STRICTLY 14 days from date of Invoice,Due-Date-14,,,,,2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
URBAN OFF ROAD TYRE,,,,,,2,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
SM Essence 250w 10.4AH / Red,SMB-ESS-RED,"JL17071065, JL17070799",,,,2,"$2,541.00","$2,310.00",$0.00,$0.00,$0.00,"$1,770.64",$539.36,23.35
FRONT SUSPENSION COVER - ZERO 9 AND ZERO 10,,,,,,2,$9.00,$8.18,$0.00,$0.00,$0.00,$0.00,$8.18,100
ZERO CABLE FROM MOTOR TO CONTROLLER,,,,,,2,$39.90,$36.27,$0.00,$0.00,$0.00,$0.00,$36.27,100
ZERO Brake Caliper / ZERO 9 Front Brake Caliper,ZER-9-BRA-CAL-FRN,,AB1EFD3C,Zero,Falcon PEV Pte Ltd,2,$94.95,$86.32,$0.00,$0.00,$0.00,$52.47,$33.85,39.21
ZERO Brake Caliper / ZERO 10 Rear Brake Caliper,ZER-10-BRA-CAL-REA,,5F458725,Zero,Falcon PEV Pte Ltd,2,$79.97,$72.70,$0.00,$0.00,$0.00,$33.25,$39.45,54.26
"ZERO TYRE 8 Inch Series / 8"" Solid (200x65)","ZER-TYRE-8""-SOLID",,,,,2,$51.98,$47.25,$0.00,$0.00,$0.00,$2.00,$45.25,95.77
VSETT 9+ INNER TUBE,,,,,,2,$0.00,$0.00,$27.40,$0.00,$0.00,$0.00,$0.00,0
Front Light,,,,,,2,$100.00,$90.91,$0.00,$0.00,$0.00,$0.00,$90.91,100
SM MidCity 250w 15.6AH / Red,SMB-MID-RED,"SMWM2000143, SMWM2000178",613CBC03,,"Kunshan Cyclisport Co., Ltd",2,"$4,197.60","$3,816.00",$0.00,$0.00,$0.00,"$2,927.40",$888.60,23.29
ZERO 8 Electric Scooter / 10.4AH,ZERO-8-48V10.4,"F8410210417046, F8410210417088",,,,2,"$1,498.50","$1,362.27",$0.00,$0.00,$0.00,$920.00,$442.27,32.47
SM MidCity 250w 15.6AH / Sky Blue,SMB-MID-BLUE,"SMWM2000289, SMWM2000469",DC106569,,"Kunshan Cyclisport Co., Ltd",2,"$4,197.60","$3,816.00",$0.00,$0.00,$0.00,"$2,927.40",$888.60,23.29
E20 FOLDING BAG,,,,,,2,$109.90,$99.91,$109.88,$0.00,$0.00,$0.00,$99.91,100
"SM G3 ECity 250w 15.6AH / Blue 26"" Tyres",SMB-G3-ECITY-26-BLUE,"G3202, G3",,,,2,"$3,297.80","$2,998.00",$0.00,$0.00,$0.00,"$2,324.00",$674.00,22.48
MOTOR CORE CLASSIC 250W,,,,,,2,$396.00,$360.00,$0.00,$0.00,$0.00,$0.00,$360.00,100
ZERO 10 10X Brake Pad Set / NUTT,ZER-10-10X-BRK-PAD-NUTT,,A3C8C037,Zero,Falcon PEV Pte Ltd,2,$39.90,$36.27,$0.00,$0.00,$0.00,$11.66,$24.61,67.85
AZUR 1000L LIGHT,,,,,,2,$129.95,$118.14,$0.00,$0.00,$0.00,$0.00,$118.14,100
SCHWALBE SUPER MOTO,,,,,,2,$160.00,$145.45,$0.00,$0.00,$0.00,$0.00,$145.45,100
8X LIGHT COVERS,,,,,,2,$31.90,$29.00,$0.00,$0.00,$0.00,$0.00,$29.00,100
ZERO Key Lock,ZER-KEY-LOC,,E5936E37,Zero,Falcon PEV Pte Ltd,2,$110.00,$100.00,$5.00,$0.00,$0.00,$42.70,$57.30,57.3
SM Battery Charger / 36v 2Ah 2.1mm male - GEN. BRAND,SM-BC-36V20A2100,,5B2DD00F,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$198.00,$180.00,$0.00,$0.00,$0.00,$0.00,$180.00,100
"ZERO 10X TYRE Pneumatic Range / 10 x 3"" Off Road",ZER-10X-TYRE-10x3-OFF,,F267D64E,,,2,$80.00,$72.73,$1.08,$0.00,$0.00,$37.80,$34.93,48.03
TYRES 11X ROAD,,,,,,2,$70.00,$63.64,$0.00,$0.00,$0.00,$0.00,$63.64,100
"TYRES 8.5 X 2""",,,,,,2,$39.90,$36.27,$0.00,$0.00,$0.00,$0.00,$36.27,100
"INNER TUBE 26""",,,,,,2,$29.90,$27.18,$0.00,$0.00,$0.00,$0.00,$27.18,100
"INNER TUBE 24""",,,,,,2,$25.90,$23.55,$0.00,$0.00,$0.00,$0.00,$23.55,100
ROTOR 180MM,,,,,,2,$0.00,$0.00,$43.90,$0.00,$0.00,$0.00,$0.00,0
ZERO 8X LIGHT COVERS,,,,,,2,$25.90,$23.55,$0.00,$0.00,$0.00,$0.00,$23.55,100
ZERO 9 DRUM BRAKES,,,,,,2,$71.90,$65.36,$0.00,$0.00,$0.00,$0.00,$65.36,100
MID CITY CONTROLLERS PROGRAMMED,,,,,,2,$0.00,$0.00,$240.00,$0.00,$0.00,$0.00,$0.00,0
CHARGER 84v ZERO 11X,,,,,,2,$149.92,$136.29,$0.00,$0.00,$0.00,$0.00,$136.29,100
TRANSPORT : TFMXPRESS,,,,,,2,$0.00,$0.00,$300.00,$0.00,$0.00,$0.00,$0.00,0
ZERO 9 BRAKE LIGHTS,,,,,,2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
ZERO 9 FRONT LIGHTS,,,,,,2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
Phone Holder,,,,,,2,$65.95,$59.95,$0.00,$0.00,$0.00,$0.00,$59.95,100
ZERO 10X OFF ROAR 10X3,,,,,,2,$96.00,$87.27,$0.00,$0.00,$0.00,$0.00,$87.27,100
ZERO 10 10X Brake Pad Set / ZOOM,ZER-10-10X-BRK-PAD-ZOOM,,2ACD2D3C,Zero,Falcon PEV Pte Ltd,2,$49.90,$45.36,$0.00,$0.00,$0.00,$23.10,$22.26,49.08
SM Essence 250w 10.4AH / Blue,SMB-ESS-BLUE,"JL17070880, JL17071047",C841C6E0,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,"$1,400.00","$1,272.73","$1,896.90",$0.00,$0.00,"$1,770.64",-$497.91,-39.12
CLOCKS,,,,,,2,$110.00,$100.00,$0.00,$0.00,$0.00,$0.00,$100.00,100
pump,,,,,,2,$170.00,$154.55,$0.00,$0.00,$0.00,$0.00,$154.55,100
RUGGED CLAMP,,,,,,2,$160.00,$145.45,$0.00,$0.00,$0.00,$0.00,$145.45,100
tube 27.5,,,,,,2,$20.00,$18.18,$0.00,$0.00,$0.00,$0.00,$18.18,100
BATTERY END CLASSIC,,,,,,2,$99.90,$90.82,$0.00,$0.00,$0.00,$0.00,$90.82,100
Chargers / 58.8V,CHR-58.8V,,D451C5E0,Zero,Falcon PEV Pte Ltd,2,$59.50,$54.09,$59.50,$0.00,$0.00,$46.20,$7.89,14.59
MID DRIVE MANIFOLD,,,,,,2,$69.90,$63.55,$0.00,$0.00,$0.00,$0.00,$63.55,100
MONSTER MIRROR,,,,,,2,$99.90,$90.82,$0.00,$0.00,$0.00,$0.00,$90.82,100
ZERO 10 TUBE 10X2,,,,,,2,$39.90,$36.27,$0.00,$0.00,$0.00,$0.00,$36.27,100
ZERO 10X Controller / 52V 23Ah - Front,ZER-10X-CON-52V23-A,,FB31A39A,,,2,$150.00,$136.36,$105.00,$0.00,$0.00,$147.00,-$10.64,-7.8
Onguard 8284 Fastlock,,,,,,2,$49.95,$45.41,$49.95,$0.00,$0.00,$0.00,$45.41,100
tires,,,,,,2,$30.00,$27.27,$0.00,$0.00,$0.00,$0.00,$27.27,100
tubes,,,,,,2,$40.00,$36.36,$0.00,$0.00,$0.00,$0.00,$36.36,100
ZERO 10X TUBE,,,,,,2,$39.95,$36.32,$0.00,$0.00,$0.00,$0.00,$36.32,100
disc lock,,,,,,2,$100.00,$90.91,$0.00,$0.00,$0.00,$0.00,$90.91,100
horizontal frame extension,,,,,,2,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
"TUBES - 26""",,,,,,2,$14.00,$12.73,$0.00,$0.00,$0.00,$0.00,$12.73,100
ECITY TYRES,,,,,,2,$31.90,$29.00,$0.00,$0.00,$0.00,$0.00,$29.00,100
ZERO 10 BRAKE PADS,,,,,,2,$45.00,$40.91,$0.00,$0.00,$0.00,$0.00,$40.91,100
Pacer 48V LED strip,,,,,,2,$0.00,$0.00,$53.90,$0.00,$0.00,$0.00,$0.00,0
ZERO 8X Solid Tyre,ZER-8X-SOL-TYR,,299444FB,,,2,$110.00,$100.00,$20.00,$0.00,$0.00,$28.46,$71.54,71.54
Service (special Price),,,,,,2,$100.00,$90.91,$0.00,$0.00,$0.00,$0.00,$90.91,100
xioami pump,,,,,,2,$170.00,$154.55,$0.00,$0.00,$0.00,$0.00,$154.55,100
ZERO 10X REAR FENDER,,,,,,2,$35.00,$31.82,$0.00,$0.00,$0.00,$0.00,$31.82,100
Battery Repair,,,,,,2,$120.00,$109.09,$0.00,$0.00,$0.00,$0.00,$109.09,100
VSETT 9+ TIRE 8.5X3,,,,,,2,$60.00,$54.55,$0.00,$0.00,$0.00,$0.00,$54.55,100
ashima brake pads,,,,,,2,$39.90,$36.27,$0.00,$0.00,$0.00,$0.00,$36.27,100
"ZERO 10X TYRE Pneumatic Range / 10 x 3"" Road (Pneumatic)",ZER-10X-TYRE-10x3-ROAD,,C376EAB6,,,2,$63.06,$57.33,$0.00,$0.00,$0.00,$29.40,$27.93,48.72
ZERO 10X Suspension Shaft / Pivot Axle,ZER-10X-SUS-SHA,,A09194B4,Zero,Falcon PEV Pte Ltd,2,$72.00,$65.45,$0.00,$0.00,$0.00,$25.20,$40.25,61.5
Azur Mini head light,,,,,,2,$140.00,$127.27,$0.00,$0.00,$0.00,$0.00,$127.27,100
SM Catalyst Fork Suspension / Black,SM-CAT-FRK-SU-BLK,,F6C19C87,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$399.00,$362.73,$0.00,$0.00,$1.00,$153.08,$209.65,57.8
SM Classic Controller 2013 4 5 6,SM-CLS-CON-2013,,437E7C6C,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$249.00,$226.36,$51.00,$0.00,$0.00,$149.90,$76.46,33.78
X-city Derailleur Hanger,,,,,,2,$29.90,$27.18,$0.00,$0.00,$0.00,$0.00,$27.18,100
KAABO CONTROLLERS,,,,,,2,$498.00,$452.73,$0.00,$0.00,$0.00,$0.00,$452.73,100
SM Disc Rotor / Magura 1800MM,SM-DISC-ROTOR-MAGURA,,B79BA977,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$26.95,$24.50,$18.85,$0.00,$0.00,$18.85,$5.65,23.06
S/M ROTOR DISC,,,,,,2,$70.00,$63.64,$0.00,$0.00,$0.00,$0.00,$63.64,100
S/M BRAKE PADS,,,,,,2,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
"off road tyre, smart sams",,,,,,2,$80.00,$72.73,$0.00,$0.00,$0.00,$0.00,$72.73,100
derailluer guard,,,,,,2,$25.00,$22.73,$0.00,$0.00,$0.00,$0.00,$22.73,100
Shopify merchant fee,,,,,,2,-$57.11,-$51.92,$0.00,$0.00,$0.00,$0.00,-$51.92,100
MANIFOLD MID CITY,,,,,,2,$76.90,$69.91,$0.00,$0.00,$0.00,$0.00,$69.91,100
SM Bottom Bracket / 122x68mm 24tpi Cartridge / ECITY,SM-BB-EC-SQ12200,,8471F37B,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$53.84,$48.95,$0.00,$0.00,$0.00,$32.63,$16.31,33.33
ZERO Kickstand / ZERO 9 Kickstand,ZER-9-KICK,,18A983BB,Zero,Falcon PEV Pte Ltd,2,$36.73,$33.39,$0.00,$0.00,$0.00,$21.00,$12.39,37.11
VSETT SCREENS - WITH NFC CARDS,,,,,,2,$0.00,$0.00,$140.00,$0.00,$0.00,$0.00,$0.00,0
VSETT LCD DISPLAY,,,,,,2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
SM Skewer - Front Wheel Q/R - OEM,SM-FNT-WHL-SPIG,,6E6A6520,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$15.99,$14.54,$12.30,$0.00,$0.00,$19.75,-$5.22,-35.9
ZERO 10X Brake Caliper / Rear,ZER-10X-BRAK-CAL-REA,,A9BE1A2E,Zero,Falcon PEV Pte Ltd,2,$34.97,$31.79,$34.97,$0.00,$0.00,$31.50,$0.29,0.92
SM Chain / 112 link 8 speed / EURBAN,SM-CHN-112,,27A457BD,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$44.00,$40.00,$0.00,$0.00,$0.00,$33.84,$6.16,15.4
SAFETY BUNDLE,,,,,,2,$498.00,$452.73,$0.00,$0.00,$0.00,$0.00,$452.73,100
Shopify Merchant Fee,,,,,,2,-$99.76,-$90.69,$0.00,$0.00,$0.00,$0.00,-$90.69,100
"SMARTMOTION MID-CITY 27.5"" REAR DERAILLEUR HANGER",,,,,,2,$17.90,$16.27,$0.00,$0.00,$0.00,$17.90,-$1.63,-10
VSETT 10+ NFC DISPLAY,,,,,,2,$152.24,$138.40,$0.00,$0.00,$0.00,$0.00,$138.40,100
VSETT 10+ Single/Dual Button Switch,VS-10+-BTN-SWTCH-SNG-DUL,,3355223,VSETT,Ningbo Vsett,2,$25.52,$23.20,$25.52,$0.00,$0.00,$35.07,-$11.87,-51.16
Motor Repair,,,,,,2,$100.00,$90.91,$0.00,$0.00,$0.00,$100.00,-$9.09,-10
11X TYRE - SLICKS,,,,,,2,$71.90,$65.36,$0.00,$0.00,$0.00,$0.00,$65.36,100
VSETT 9/9+ NFC Display,VS-9/9+-NFC-DISPLAY,,7DC40FB4,VSETT,Ningbo Vsett,2,$152.24,$138.40,$0.00,$0.00,$0.00,$50.74,$87.66,63.34
BELT DRIVE KIT + FITTING,,,,,,2,$500.00,$454.55,$0.00,$0.00,$0.00,$0.00,$454.55,100
CAP FOR CHARGING PORT,,,,,,2,$9.90,$9.00,$0.00,$0.00,$0.00,$0.00,$9.00,100
Derailleur Hanger - MID CITY,,,,,,2,$17.90,$16.27,$0.00,$0.00,$0.00,$0.00,$16.27,100
SM LED Light Strip in REAR CARGO RACK STAY,,,,,,2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
VSETT 9/9+ Kickstander,VS-9/9+-KIK-STND,,200C1A41,VSETT,Ningbo Vsett,2,$38.97,$35.43,$0.00,$0.00,$0.00,$3.50,$31.93,90.12
ZERO 8 Charger,ZER-8-CHA,,BEEE7034,,,2,$130.00,$118.18,$0.00,$0.00,$0.00,$42.00,$76.18,64.46
Helmet - STATUS / Carby/Charcoal / XXL,HELMET-STATUS-C/CH-XXL,,E45E9C00,,FE Sports,2,$599.98,$545.44,$0.00,$0.00,$0.00,$479.98,$65.46,12
SM DNM Air Shock Suspension / DNM AOY-36RC,SM-DNM-AOY-36RC,,93F25AEF,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$384.62,$349.65,$0.00,$0.00,$0.00,$233.10,$116.55,33.33
Fuse,,,,,,2,$0.00,$0.09,$4.00,$0.00,$0.00,$3.00,-$2.91,-3200.33
LABOUR CHARGE,,,,,,2,$113.85,$103.50,$0.00,$0.00,$0.00,$0.00,$103.50,100
BAR RAIL,,,,,,2,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
ZERO 8X Battery / 52V 18AH,ZER-8X-BATT-52V18,"LGS-19X06K0D0090, NA",E0557975,Zero,Falcon PEV Pte Ltd,2,$950.00,$863.64,$950.00,$0.00,$0.00,"$1,330.00",-$466.36,-54
Xiaomi tyre,,,,,,2,$80.00,$72.73,$0.00,$0.00,$45.00,$35.00,$37.73,51.88
VSETT  Charging port + dust cap 10+/11+,VS-CRG-PRT - 10+/11+,,34E02A99,VSETT,Ningbo Vsett,2,$26.18,$23.80,$0.00,$0.00,$0.00,$4.20,$19.60,82.35
SM Controller/Basic / Vista,SM-CONT-BASIC-VISTA,,ED771109,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$230.72,$209.75,$0.00,$0.00,$0.00,$139.84,$69.91,33.33
SM Mud Guard/Classic / eCity Rear,SM-MUD-GRD-CL-EC-R,,C09F3B0E,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$31.50,$28.64,$6.95,$0.00,$0.00,$16.50,$12.14,42.38
Smartmotion Bike Cover,,,,,,2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
ZERO Disc Rotor / 120mm Z8X,ZER-DISC-ROT-Z8X-120,,28926120,,,2,$45.90,$41.73,$0.00,$0.00,$0.00,$16.80,$24.93,59.74
COMMUNICATION CABLES,,,,,,2,$39.90,$36.27,$0.00,$0.00,$0.00,$0.00,$36.27,100
Merchant Fees,,,,,,2,-$768.05,-$698.23,$0.00,$0.00,$0.00,$0.00,-$698.23,100
coil,,,,,,2,$10.00,$9.09,$0.00,$0.00,$0.00,$0.00,$9.09,100
rear tube,,,,,,2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
VSETT  Charging port + dust cap 8/8+/9/9+,VS-CRG-PRT - 8/8+/9/9+,,09EA6EED,VSETT,Ningbo Vsett,2,$38.00,$34.55,$0.00,$0.00,$0.00,$4.20,$30.35,87.84
Lock,,,,,,2,$40.00,$36.36,$0.00,$0.00,$0.00,$0.00,$36.36,100
VSETT 10+ Front Fender,VS-10+-F-FNDR,,837EB853,VSETT,Ningbo Vsett,2,$40.46,$36.78,$0.00,$0.00,$0.00,$6.98,$29.80,81.02
Seat Post,,,,,,2,$240.00,$218.18,$0.00,$0.00,$0.00,$0.00,$218.18,100
BATTERY RETURN,,,,,,2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
SM Sport Torque Sensor Bottom bracket,SM-SPT-TORQ-SEN-BOT-BRC,,2FDFACA0,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$249.00,$226.36,$0.00,$0.00,$0.00,$99.00,$127.36,56.27
MID RANGE KICKSTAND,,,,,,2,$43.90,$39.91,$0.00,$0.00,$0.00,$0.00,$39.91,100
CLASSIC KICKSTAND,,,,,,2,$49.90,$45.36,$0.00,$0.00,$0.00,$0.00,$45.36,100
Smartmotion Pacer 250W 48V / Orange / LGE / 14.5,SMB-PACER-LGE-14.5-OR,"JL16120533, JL16120776",103DD5C0,,,2,"$4,400.00","$4,000.00",$0.00,$0.00,$0.00,"$3,076.92",$923.08,23.08
ZERO 10X Controller / 52V 23Ah - Front,ZER-10X-CON-52V23-A,,,,,2,$210.00,$190.91,$0.00,$0.00,$0.00,$84.00,$106.91,56
VSETT 10+ Rear Fender light cover,VS-10+-R-FNDR-LGHT-COVR,,07F747C0,VSETT,Ningbo Vsett,2,$46.00,$41.82,$0.00,$0.00,$0.00,$7.00,$34.82,83.26
VSETT 10+ Right rocker arm Rear,VS-10+-RIGHT-RKR-ARM-R,,E15D6438,VSETT,Ningbo Vsett,2,$173.41,$157.65,$0.00,$0.00,$0.00,$41.90,$115.75,73.42
VSETT 10+ Left Rocker Arm Rear,VS-10+-LEFT-RKR-ARM-R,,AEEDA1A2,VSETT,Ningbo Vsett,2,$173.41,$157.65,$0.00,$0.00,$0.00,$41.90,$115.75,73.42
SM E20 Battery Lock,SM-BATT-LOCK-E20,,871E1B83,,,2,$0.00,$0.00,$38.20,$0.00,$0.00,$23.10,-$23.10,0
On guard alarm lock,,,,,,2,$180.00,$163.64,$0.00,$0.00,$0.00,$0.00,$163.64,100
Smartmotion G3 ECity 24 250W 36V / Blue,SMB-G3-ECITY-24-BLUE,"J26210244, J24210015",B90F2CF0,,,2,"$3,132.91","$2,848.10",$164.89,$0.00,$0.00,"$2,398.31",$449.79,15.79
ZERO 8X Motor 52V 800W / Front,ZER-8X-MOT-FRN,"8X MOTOR, TBA",D3338FE8,Zero,Falcon PEV Pte Ltd,2,$490.00,$445.45,$0.00,$0.00,$0.00,$254.10,$191.35,42.96
SM Lighting Manifold / Julet 2pin flat edge 3-way,SM-LGHT-MAN-CL-J2PMAN3200,,A53D30A9,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,$9.23,$8.39,$9.23,$0.00,$0.00,$11.19,-$2.80,-33.34
8X brake pads,,,,,,2,$49.90,$45.36,$0.00,$0.00,$0.00,$0.00,$45.36,100
ZERO 9 Front Wheel Hub,ZER-9-WHE-HUB,,263FF1C0,Zero,Falcon PEV Pte Ltd,2,$63.00,$57.27,$0.00,$0.00,$0.00,$29.40,$27.87,48.67
GUB HORN,,,,,,2,$95.00,$86.36,$0.00,$0.00,$0.00,$0.00,$86.36,100
Smartmotion Essence 250w 10.4AH / White,SMB-ESS-WH,"JL1770872, JL17070998",BD8CDBFA,Smartmotion,"Kunshan Cyclisport Co., Ltd",2,"$2,541.00","$2,310.00",$254.80,$0.00,$0.00,"$1,789.22",$520.78,22.54
